subprod_id,prod_id,valor_vivienda,aforo,plazo,ingresos_requeridos,tasa_interes,tipo_tasa_id,cat,cat_incluye_iva,monto_pago,avaluo,comision_por_apertura,gastos_notariales,desembolso_inicial
1,13,400000,95.0,84,13224.0,11.2,0,13.6,0,6612.0,1800.0,4750.0,8000.0,34550.0
2,13,500000,95.0,84,16530.0,11.2,0,13.6,0,8265.0,1800.0,5937.5,10000.0,42737.5
3,13,600000,95.0,84,19836.0,11.2,0,13.6,0,9918.0,2500.0,7125.0,12000.0,51625.0
4,13,700000,95.0,84,23142.0,11.2,0,13.6,0,11571.0,2500.0,8312.5,14000.0,59812.5
5,13,800000,95.0,84,26448.0,11.2,0,13.6,0,13224.0,2500.0,9500.0,16000.0,68000.0
6,13,900000,95.0,84,29754.0,11.2,0,13.6,0,14877.0,2500.0,10687.5,18000.0,76187.5
7,13,1000000,95.0,84,33060.0,11.2,0,13.6,0,16530.0,2500.0,11875.0,20000.0,84375.0
8,13,1100000,95.0,84,36366.0,11.2,0,13.6,0,18183.0,4000.0,13062.5,22000.0,94062.5
9,13,1200000,95.0,84,39672.0,11.2,0,13.6,0,19836.0,4000.0,14250.0,24000.0,102250.0
10,13,1300000,95.0,84,42978.0,11.2,0,13.6,0,21489.0,4000.0,15437.5,26000.0,110437.5
11,13,1400000,95.0,84,46284.0,11.2,0,13.6,0,23142.0,4000.0,16625.0,28000.0,118625.0
12,13,1500000,95.0,84,49590.0,11.2,0,13.6,0,24795.0,4000.0,17812.5,30000.0,126812.5
13,13,1600000,95.0,84,52896.0,11.2,0,13.6,0,26448.0,4000.0,19000.0,32000.0,135000.0
14,13,1700000,95.0,84,56202.0,11.2,0,13.6,0,28101.0,4000.0,20187.5,34000.0,143187.5
15,13,1800000,95.0,84,59508.0,11.2,0,13.6,0,29754.0,4000.0,21375.0,36000.0,151375.0
16,13,1900000,95.0,84,62814.0,11.2,0,13.5,0,31407.0,4000.0,22562.5,38000.0,159562.5
17,13,2000000,95.0,84,66120.0,11.2,0,13.5,0,33060.0,4000.0,23750.0,40000.0,167750.0
18,13,2500000,95.0,84,82650.0,11.2,0,13.6,0,41325.0,6700.0,29687.5,50000.0,211387.5
19,13,3000000,95.0,84,99180.0,11.2,0,13.6,0,49590.0,6700.0,35625.0,60000.0,252325.0
20,13,3500000,95.0,84,115710.0,11.2,0,13.6,0,57855.0,9600.0,41562.5,70000.0,296162.5
21,13,4000000,95.0,84,132240.0,11.2,0,13.6,0,66120.0,9600.0,47500.0,80000.0,337100.0
22,13,4500000,95.0,84,148770.0,11.2,0,13.6,0,74385.0,12300.0,53437.5,90000.0,380737.5
23,13,5000000,95.0,84,165300.0,11.2,0,13.6,0,82650.0,12300.0,59375.0,100000.0,421675.0
24,13,5500000,95.0,84,181830.0,11.2,0,13.6,0,90915.0,17200.0,65312.5,110000.0,467512.5
25,13,6000000,95.0,84,198360.0,11.2,0,13.6,0,99180.0,17200.0,71250.0,120000.0,508450.0
26,13,6500000,95.0,84,214890.0,11.2,0,13.6,0,107445.0,17200.0,77187.5,130000.0,549387.5
27,13,7000000,95.0,84,231420.0,11.2,0,13.6,0,115710.0,17200.0,83125.0,140000.0,590325.0
28,13,7500000,95.0,84,247950.0,11.2,0,13.6,0,123975.0,17200.0,89062.5,150000.0,631262.5
29,13,8000000,95.0,84,264480.0,11.2,0,13.5,0,132240.0,17200.0,95000.0,160000.0,672200.0
30,13,8500000,95.0,84,281010.0,11.2,0,13.6,0,140505.0,19800.0,100937.5,170000.0,715737.5
31,13,9000000,95.0,84,297540.0,11.2,0,13.6,0,148770.0,19800.0,106875.0,180000.0,756675.0
32,13,9500000,95.0,84,314070.0,11.2,0,13.5,0,157035.0,19800.0,112812.5,190000.0,797612.5
33,13,10000000,95.0,84,330600.0,11.2,0,13.5,0,165300.0,19800.0,118750.0,200000.0,838550.0
34,13,400000,95.0,120,10716.0,11.3,0,13.5,0,5358.0,1800.0,4750.0,8000.0,34550.0
35,13,500000,95.0,120,13395.0,11.3,0,13.4,0,6697.5,1800.0,5937.5,10000.0,42737.5
36,13,600000,95.0,120,16074.0,11.3,0,13.4,0,8037.0,2500.0,7125.0,12000.0,51625.0
37,13,700000,95.0,120,18753.0,11.3,0,13.4,0,9376.5,2500.0,8312.5,14000.0,59812.5
38,13,800000,95.0,120,21432.0,11.3,0,13.4,0,10716.0,2500.0,9500.0,16000.0,68000.0
39,13,900000,95.0,120,24111.0,11.3,0,13.4,0,12055.5,2500.0,10687.5,18000.0,76187.5
40,13,1000000,95.0,120,26790.0,11.3,0,13.4,0,13395.0,2500.0,11875.0,20000.0,84375.0
41,13,1100000,95.0,120,29469.0,11.3,0,13.4,0,14734.5,4000.0,13062.5,22000.0,94062.5
42,13,1200000,95.0,120,32148.0,11.3,0,13.4,0,16074.0,4000.0,14250.0,24000.0,102250.0
43,13,1300000,95.0,120,34827.0,11.3,0,13.4,0,17413.5,4000.0,15437.5,26000.0,110437.5
44,13,1400000,95.0,120,37506.0,11.3,0,13.4,0,18753.0,4000.0,16625.0,28000.0,118625.0
45,13,1500000,95.0,120,40185.0,11.3,0,13.4,0,20092.5,4000.0,17812.5,30000.0,126812.5
46,13,1600000,95.0,120,42864.0,11.3,0,13.4,0,21432.0,4000.0,19000.0,32000.0,135000.0
47,13,1700000,95.0,120,45543.0,11.3,0,13.4,0,22771.5,4000.0,20187.5,34000.0,143187.5
48,13,1800000,95.0,120,48222.0,11.3,0,13.4,0,24111.0,4000.0,21375.0,36000.0,151375.0
49,13,1900000,95.0,120,50901.0,11.3,0,13.4,0,25450.5,4000.0,22562.5,38000.0,159562.5
50,13,2000000,95.0,120,53580.0,11.3,0,13.4,0,26790.0,4000.0,23750.0,40000.0,167750.0
51,13,2500000,95.0,120,66975.0,11.3,0,13.4,0,33487.5,6700.0,29687.5,50000.0,211387.5
52,13,3000000,95.0,120,80370.0,11.3,0,13.4,0,40185.0,6700.0,35625.0,60000.0,252325.0
53,13,3500000,95.0,120,93765.0,11.3,0,13.4,0,46882.5,9600.0,41562.5,70000.0,296162.5
54,13,4000000,95.0,120,107160.0,11.3,0,13.4,0,53580.0,9600.0,47500.0,80000.0,337100.0
55,13,4500000,95.0,120,120555.0,11.3,0,13.4,0,60277.5,12300.0,53437.5,90000.0,380737.5
56,13,5000000,95.0,120,133950.0,11.3,0,13.4,0,66975.0,12300.0,59375.0,100000.0,421675.0
57,13,5500000,95.0,120,147345.0,11.3,0,13.4,0,73672.5,17200.0,65312.5,110000.0,467512.5
58,13,6000000,95.0,120,160740.0,11.3,0,13.4,0,80370.0,17200.0,71250.0,120000.0,508450.0
59,13,6500000,95.0,120,174135.0,11.3,0,13.4,0,87067.5,17200.0,77187.5,130000.0,549387.5
60,13,7000000,95.0,120,187530.0,11.3,0,13.4,0,93765.0,17200.0,83125.0,140000.0,590325.0
61,13,7500000,95.0,120,200925.0,11.3,0,13.4,0,100462.5,17200.0,89062.5,150000.0,631262.5
62,13,8000000,95.0,120,214320.0,11.3,0,13.4,0,107160.0,17200.0,95000.0,160000.0,672200.0
63,13,8500000,95.0,120,227715.0,11.3,0,13.4,0,113857.5,19800.0,100937.5,170000.0,715737.5
64,13,9000000,95.0,120,241110.0,11.3,0,13.4,0,120555.0,19800.0,106875.0,180000.0,756675.0
65,13,9500000,95.0,120,254505.0,11.3,0,13.4,0,127252.5,19800.0,112812.5,190000.0,797612.5
66,13,10000000,95.0,120,267900.0,11.3,0,13.4,0,133950.0,19800.0,118750.0,200000.0,838550.0
67,13,400000,95.0,180,10000.0,11.5,0,13.4,0,4484.0,1800.0,4750.0,8000.0,34550.0
68,13,500000,95.0,180,11210.0,11.5,0,13.4,0,5605.0,1800.0,5937.5,10000.0,42737.5
69,13,600000,95.0,180,13452.0,11.5,0,13.4,0,6726.0,2500.0,7125.0,12000.0,51625.0
70,13,700000,95.0,180,15694.0,11.5,0,13.4,0,7847.0,2500.0,8312.5,14000.0,59812.5
71,13,800000,95.0,180,17936.0,11.5,0,13.4,0,8968.0,2500.0,9500.0,16000.0,68000.0
72,13,900000,95.0,180,20178.0,11.5,0,13.4,0,10089.0,2500.0,10687.5,18000.0,76187.5
73,13,1000000,95.0,180,22420.0,11.5,0,13.4,0,11210.0,2500.0,11875.0,20000.0,84375.0
74,13,1100000,95.0,180,24662.0,11.5,0,13.4,0,12331.0,4000.0,13062.5,22000.0,94062.5
75,13,1200000,95.0,180,26904.0,11.5,0,13.4,0,13452.0,4000.0,14250.0,24000.0,102250.0
76,13,1300000,95.0,180,29146.0,11.5,0,13.4,0,14573.0,4000.0,15437.5,26000.0,110437.5
77,13,1400000,95.0,180,31388.0,11.5,0,13.4,0,15694.0,4000.0,16625.0,28000.0,118625.0
78,13,1500000,95.0,180,33630.0,11.5,0,13.4,0,16815.0,4000.0,17812.5,30000.0,126812.5
79,13,1600000,95.0,180,35872.0,11.5,0,13.4,0,17936.0,4000.0,19000.0,32000.0,135000.0
80,13,1700000,95.0,180,38114.0,11.5,0,13.4,0,19057.0,4000.0,20187.5,34000.0,143187.5
81,13,1800000,95.0,180,40356.0,11.5,0,13.4,0,20178.0,4000.0,21375.0,36000.0,151375.0
82,13,1900000,95.0,180,42598.0,11.5,0,13.4,0,21299.0,4000.0,22562.5,38000.0,159562.5
83,13,2000000,95.0,180,44840.0,11.5,0,13.4,0,22420.0,4000.0,23750.0,40000.0,167750.0
84,13,2500000,95.0,180,56050.0,11.5,0,13.4,0,28025.0,6700.0,29687.5,50000.0,211387.5
85,13,3000000,95.0,180,67260.0,11.5,0,13.4,0,33630.0,6700.0,35625.0,60000.0,252325.0
86,13,3500000,95.0,180,78470.0,11.5,0,13.4,0,39235.0,9600.0,41562.5,70000.0,296162.5
87,13,4000000,95.0,180,89680.0,11.5,0,13.4,0,44840.0,9600.0,47500.0,80000.0,337100.0
88,13,4500000,95.0,180,100890.0,11.5,0,13.4,0,50445.0,12300.0,53437.5,90000.0,380737.5
89,13,5000000,95.0,180,112100.0,11.5,0,13.4,0,56050.0,12300.0,59375.0,100000.0,421675.0
90,13,5500000,95.0,180,123310.0,11.5,0,13.4,0,61655.0,17200.0,65312.5,110000.0,467512.5
91,13,6000000,95.0,180,134520.0,11.5,0,13.4,0,67260.0,17200.0,71250.0,120000.0,508450.0
92,13,6500000,95.0,180,145730.0,11.5,0,13.4,0,72865.0,17200.0,77187.5,130000.0,549387.5
93,13,7000000,95.0,180,156940.0,11.5,0,13.4,0,78470.0,17200.0,83125.0,140000.0,590325.0
94,13,7500000,95.0,180,168150.0,11.5,0,13.4,0,84075.0,17200.0,89062.5,150000.0,631262.5
95,13,8000000,95.0,180,179360.0,11.5,0,13.4,0,89680.0,17200.0,95000.0,160000.0,672200.0
96,13,8500000,95.0,180,190570.0,11.5,0,13.4,0,95285.0,19800.0,100937.5,170000.0,715737.5
97,13,9000000,95.0,180,201780.0,11.5,0,13.4,0,100890.0,19800.0,106875.0,180000.0,756675.0
98,13,9500000,95.0,180,212990.0,11.5,0,13.4,0,106495.0,19800.0,112812.5,190000.0,797612.5
99,13,10000000,95.0,180,224200.0,11.5,0,13.4,0,112100.0,19800.0,118750.0,200000.0,838550.0
100,13,400000,95.0,240,10000.0,11.6,0,13.4,0,4126.8,1800.0,4750.0,8000.0,34550.0
101,13,500000,95.0,240,10317.0,11.6,0,13.4,0,5158.5,1800.0,5937.5,10000.0,42737.5
102,13,600000,95.0,240,12380.4,11.6,0,13.4,0,6190.2,2500.0,7125.0,12000.0,51625.0
103,13,700000,95.0,240,14443.8,11.6,0,13.4,0,7221.9,2500.0,8312.5,14000.0,59812.5
104,13,800000,95.0,240,16507.2,11.6,0,13.4,0,8253.6,2500.0,9500.0,16000.0,68000.0
105,13,900000,95.0,240,18570.6,11.6,0,13.4,0,9285.3,2500.0,10687.5,18000.0,76187.5
106,13,1000000,95.0,240,20634.0,11.6,0,13.4,0,10317.0,2500.0,11875.0,20000.0,84375.0
107,13,1100000,95.0,240,22697.4,11.6,0,13.4,0,11348.7,4000.0,13062.5,22000.0,94062.5
108,13,1200000,95.0,240,24760.8,11.6,0,13.4,0,12380.4,4000.0,14250.0,24000.0,102250.0
109,13,1300000,95.0,240,26824.2,11.6,0,13.4,0,13412.1,4000.0,15437.5,26000.0,110437.5
110,13,1400000,95.0,240,28887.6,11.6,0,13.4,0,14443.8,4000.0,16625.0,28000.0,118625.0
111,13,1500000,95.0,240,30951.0,11.6,0,13.4,0,15475.5,4000.0,17812.5,30000.0,126812.5
112,13,1600000,95.0,240,33014.4,11.6,0,13.4,0,16507.2,4000.0,19000.0,32000.0,135000.0
113,13,1700000,95.0,240,35077.8,11.6,0,13.4,0,17538.9,4000.0,20187.5,34000.0,143187.5
114,13,1800000,95.0,240,37141.2,11.6,0,13.4,0,18570.6,4000.0,21375.0,36000.0,151375.0
115,13,1900000,95.0,240,39204.6,11.6,0,13.4,0,19602.3,4000.0,22562.5,38000.0,159562.5
116,13,2000000,95.0,240,41268.0,11.6,0,13.4,0,20634.0,4000.0,23750.0,40000.0,167750.0
117,13,2500000,95.0,240,51585.0,11.6,0,13.4,0,25792.5,6700.0,29687.5,50000.0,211387.5
118,13,3000000,95.0,240,61902.0,11.6,0,13.4,0,30951.0,6700.0,35625.0,60000.0,252325.0
119,13,3500000,95.0,240,72219.0,11.6,0,13.4,0,36109.5,9600.0,41562.5,70000.0,296162.5
120,13,4000000,95.0,240,82536.0,11.6,0,13.4,0,41268.0,9600.0,47500.0,80000.0,337100.0
121,13,4500000,95.0,240,92853.0,11.6,0,13.4,0,46426.5,12300.0,53437.5,90000.0,380737.5
122,13,5000000,95.0,240,103170.0,11.6,0,13.4,0,51585.0,12300.0,59375.0,100000.0,421675.0
123,13,5500000,95.0,240,113487.0,11.6,0,13.4,0,56743.5,17200.0,65312.5,110000.0,467512.5
124,13,6000000,95.0,240,123804.0,11.6,0,13.4,0,61902.0,17200.0,71250.0,120000.0,508450.0
125,13,6500000,95.0,240,134121.0,11.6,0,13.4,0,67060.5,17200.0,77187.5,130000.0,549387.5
126,13,7000000,95.0,240,144438.0,11.6,0,13.4,0,72219.0,17200.0,83125.0,140000.0,590325.0
127,13,7500000,95.0,240,154755.0,11.6,0,13.4,0,77377.5,17200.0,89062.5,150000.0,631262.5
128,13,8000000,95.0,240,165072.0,11.6,0,13.4,0,82536.0,17200.0,95000.0,160000.0,672200.0
129,13,8500000,95.0,240,175389.0,11.6,0,13.4,0,87694.5,19800.0,100937.5,170000.0,715737.5
130,13,9000000,95.0,240,185706.0,11.6,0,13.4,0,92853.0,19800.0,106875.0,180000.0,756675.0
131,13,9500000,95.0,240,196023.0,11.6,0,13.4,0,98011.5,19800.0,112812.5,190000.0,797612.5
132,13,10000000,95.0,240,206340.0,11.6,0,13.4,0,103170.0,19800.0,118750.0,200000.0,838550.0
133,13,400000,95.0,120,10000.0,11.25,1,13.5,0,4921.0,1800.0,4750.0,8000.0,34550.0
134,13,500000,95.0,120,12302.5,11.25,1,13.5,0,6151.25,1800.0,5937.5,10000.0,42737.5
135,13,600000,95.0,120,14763.0,11.25,1,13.5,0,7381.5,2500.0,7125.0,12000.0,51625.0
136,13,700000,95.0,120,17223.5,11.25,1,13.5,0,8611.75,2500.0,8312.5,14000.0,59812.5
137,13,800000,95.0,120,19684.0,11.25,1,13.5,0,9842.0,2500.0,9500.0,16000.0,68000.0
138,13,900000,95.0,120,22144.5,11.25,1,13.5,0,11072.25,2500.0,10687.5,18000.0,76187.5
139,13,1000000,95.0,120,24605.0,11.25,1,13.5,0,12302.5,2500.0,11875.0,20000.0,84375.0
140,13,1100000,95.0,120,27065.5,11.25,1,13.5,0,13532.75,4000.0,13062.5,22000.0,94062.5
141,13,1200000,95.0,120,29526.0,11.25,1,13.5,0,14763.0,4000.0,14250.0,24000.0,102250.0
142,13,1300000,95.0,120,31986.5,11.25,1,13.5,0,15993.25,4000.0,15437.5,26000.0,110437.5
143,13,1400000,95.0,120,34447.0,11.25,1,13.5,0,17223.5,4000.0,16625.0,28000.0,118625.0
144,13,1500000,95.0,120,36907.5,11.25,1,13.5,0,18453.75,4000.0,17812.5,30000.0,126812.5
145,13,1600000,95.0,120,39368.0,11.25,1,13.5,0,19684.0,4000.0,19000.0,32000.0,135000.0
146,13,1700000,95.0,120,41828.5,11.25,1,13.5,0,20914.25,4000.0,20187.5,34000.0,143187.5
147,13,1800000,95.0,120,44289.0,11.25,1,13.5,0,22144.5,4000.0,21375.0,36000.0,151375.0
148,13,1900000,95.0,120,46749.5,11.25,1,13.5,0,23374.75,4000.0,22562.5,38000.0,159562.5
149,13,2000000,95.0,120,49210.0,11.25,1,13.5,0,24605.0,4000.0,23750.0,40000.0,167750.0
150,13,2500000,95.0,120,61512.5,11.25,1,13.5,0,30756.25,6700.0,29687.5,50000.0,211387.5
151,13,3000000,95.0,120,73815.0,11.25,1,13.5,0,36907.5,6700.0,35625.0,60000.0,252325.0
152,13,3500000,95.0,120,86117.5,11.25,1,13.5,0,43058.75,9600.0,41562.5,70000.0,296162.5
153,13,4000000,95.0,120,98420.0,11.25,1,13.5,0,49210.0,9600.0,47500.0,80000.0,337100.0
154,13,4500000,95.0,120,110722.5,11.25,1,13.5,0,55361.25,12300.0,53437.5,90000.0,380737.5
155,13,5000000,95.0,120,123025.0,11.25,1,13.5,0,61512.5,12300.0,59375.0,100000.0,421675.0
156,13,5500000,95.0,120,135327.5,11.25,1,13.5,0,67663.75,17200.0,65312.5,110000.0,467512.5
157,13,6000000,95.0,120,147630.0,11.25,1,13.5,0,73815.0,17200.0,71250.0,120000.0,508450.0
158,13,6500000,95.0,120,159932.5,11.25,1,13.5,0,79966.25,17200.0,77187.5,130000.0,549387.5
159,13,7000000,95.0,120,172235.0,11.25,1,13.5,0,86117.5,17200.0,83125.0,140000.0,590325.0
160,13,7500000,95.0,120,184537.5,11.25,1,13.5,0,92268.75,17200.0,89062.5,150000.0,631262.5
161,13,8000000,95.0,120,196840.0,11.25,1,13.5,0,98420.0,17200.0,95000.0,160000.0,672200.0
162,13,8500000,95.0,120,209142.5,11.25,1,13.5,0,104571.25,19800.0,100937.5,170000.0,715737.5
163,13,9000000,95.0,120,221445.0,11.25,1,13.5,0,110722.5,19800.0,106875.0,180000.0,756675.0
164,13,9500000,95.0,120,233747.5,11.25,1,13.5,0,116873.75,19800.0,112812.5,190000.0,797612.5
165,13,10000000,95.0,120,246050.0,11.25,1,13.5,0,123025.0,19800.0,118750.0,200000.0,838550.0
166,13,400000,95.0,180,10000.0,11.25,1,13.3,0,3990.0,1800.0,4750.0,8000.0,34550.0
167,13,500000,95.0,180,10000.0,11.25,1,13.2,0,4987.5,1800.0,5937.5,10000.0,42737.5
168,13,600000,95.0,180,11970.0,11.25,1,13.2,0,5985.0,2500.0,7125.0,12000.0,51625.0
169,13,700000,95.0,180,13965.0,11.25,1,13.2,0,6982.5,2500.0,8312.5,14000.0,59812.5
170,13,800000,95.0,180,15960.0,11.25,1,13.2,0,7980.0,2500.0,9500.0,16000.0,68000.0
171,13,900000,95.0,180,17955.0,11.25,1,13.2,0,8977.5,2500.0,10687.5,18000.0,76187.5
172,13,1000000,95.0,180,19950.0,11.25,1,13.2,0,9975.0,2500.0,11875.0,20000.0,84375.0
173,13,1100000,95.0,180,21945.0,11.25,1,13.2,0,10972.5,4000.0,13062.5,22000.0,94062.5
174,13,1200000,95.0,180,23940.0,11.25,1,13.2,0,11970.0,4000.0,14250.0,24000.0,102250.0
175,13,1300000,95.0,180,25935.0,11.25,1,13.2,0,12967.5,4000.0,15437.5,26000.0,110437.5
176,13,1400000,95.0,180,27930.0,11.25,1,13.2,0,13965.0,4000.0,16625.0,28000.0,118625.0
177,13,1500000,95.0,180,29925.0,11.25,1,13.2,0,14962.5,4000.0,17812.5,30000.0,126812.5
178,13,1600000,95.0,180,31920.0,11.25,1,13.2,0,15960.0,4000.0,19000.0,32000.0,135000.0
179,13,1700000,95.0,180,33915.0,11.25,1,13.2,0,16957.5,4000.0,20187.5,34000.0,143187.5
180,13,1800000,95.0,180,35910.0,11.25,1,13.2,0,17955.0,4000.0,21375.0,36000.0,151375.0
181,13,1900000,95.0,180,37905.0,11.25,1,13.2,0,18952.5,4000.0,22562.5,38000.0,159562.5
182,13,2000000,95.0,180,39900.0,11.25,1,13.2,0,19950.0,4000.0,23750.0,40000.0,167750.0
183,13,2500000,95.0,180,49875.0,11.25,1,13.2,0,24937.5,6700.0,29687.5,50000.0,211387.5
184,13,3000000,95.0,180,59850.0,11.25,1,13.2,0,29925.0,6700.0,35625.0,60000.0,252325.0
185,13,3500000,95.0,180,69825.0,11.25,1,13.2,0,34912.5,9600.0,41562.5,70000.0,296162.5
186,13,4000000,95.0,180,79800.0,11.25,1,13.2,0,39900.0,9600.0,47500.0,80000.0,337100.0
187,13,4500000,95.0,180,89775.0,11.25,1,13.2,0,44887.5,12300.0,53437.5,90000.0,380737.5
188,13,5000000,95.0,180,99750.0,11.25,1,13.2,0,49875.0,12300.0,59375.0,100000.0,421675.0
189,13,5500000,95.0,180,109725.0,11.25,1,13.2,0,54862.5,17200.0,65312.5,110000.0,467512.5
190,13,6000000,95.0,180,119700.0,11.25,1,13.2,0,59850.0,17200.0,71250.0,120000.0,508450.0
191,13,6500000,95.0,180,129675.0,11.25,1,13.2,0,64837.5,17200.0,77187.5,130000.0,549387.5
192,13,7000000,95.0,180,139650.0,11.25,1,13.2,0,69825.0,17200.0,83125.0,140000.0,590325.0
193,13,7500000,95.0,180,149625.0,11.25,1,13.2,0,74812.5,17200.0,89062.5,150000.0,631262.5
194,13,8000000,95.0,180,159600.0,11.25,1,13.2,0,79800.0,17200.0,95000.0,160000.0,672200.0
195,13,8500000,95.0,180,169575.0,11.25,1,13.2,0,84787.5,19800.0,100937.5,170000.0,715737.5
196,13,9000000,95.0,180,179550.0,11.25,1,13.2,0,89775.0,19800.0,106875.0,180000.0,756675.0
197,13,9500000,95.0,180,189525.0,11.25,1,13.2,0,94762.5,19800.0,112812.5,190000.0,797612.5
198,13,10000000,95.0,180,199500.0,11.25,1,13.2,0,99750.0,19800.0,118750.0,200000.0,838550.0
199,13,400000,95.0,240,10000.0,11.25,1,13.2,0,3686.0,1800.0,4750.0,8000.0,34550.0
200,13,500000,95.0,240,10000.0,11.25,1,13.1,0,4607.5,1800.0,5937.5,10000.0,42737.5
201,13,600000,95.0,240,11058.0,11.25,1,13.2,0,5529.0,2500.0,7125.0,12000.0,51625.0
202,13,700000,95.0,240,12901.0,11.25,1,13.1,0,6450.5,2500.0,8312.5,14000.0,59812.5
203,13,800000,95.0,240,14744.0,11.25,1,13.1,0,7372.0,2500.0,9500.0,16000.0,68000.0
204,13,900000,95.0,240,16587.0,11.25,1,13.1,0,8293.5,2500.0,10687.5,18000.0,76187.5
205,13,1000000,95.0,240,18430.0,11.25,1,13.1,0,9215.0,2500.0,11875.0,20000.0,84375.0
206,13,1100000,95.0,240,20273.0,11.25,1,13.1,0,10136.5,4000.0,13062.5,22000.0,94062.5
207,13,1200000,95.0,240,22116.0,11.25,1,13.1,0,11058.0,4000.0,14250.0,24000.0,102250.0
208,13,1300000,95.0,240,23959.0,11.25,1,13.1,0,11979.5,4000.0,15437.5,26000.0,110437.5
209,13,1400000,95.0,240,25802.0,11.25,1,13.1,0,12901.0,4000.0,16625.0,28000.0,118625.0
210,13,1500000,95.0,240,27645.0,11.25,1,13.1,0,13822.5,4000.0,17812.5,30000.0,126812.5
211,13,1600000,95.0,240,29488.0,11.25,1,13.1,0,14744.0,4000.0,19000.0,32000.0,135000.0
212,13,1700000,95.0,240,31331.0,11.25,1,13.1,0,15665.5,4000.0,20187.5,34000.0,143187.5
213,13,1800000,95.0,240,33174.0,11.25,1,13.1,0,16587.0,4000.0,21375.0,36000.0,151375.0
214,13,1900000,95.0,240,35017.0,11.25,1,13.1,0,17508.5,4000.0,22562.5,38000.0,159562.5
215,13,2000000,95.0,240,36860.0,11.25,1,13.1,0,18430.0,4000.0,23750.0,40000.0,167750.0
216,13,2500000,95.0,240,46075.0,11.25,1,13.1,0,23037.5,6700.0,29687.5,50000.0,211387.5
217,13,3000000,95.0,240,55290.0,11.25,1,13.1,0,27645.0,6700.0,35625.0,60000.0,252325.0
